customer_state,order_count,avg_spending
SP,47817,153.09507539159713
RJ,14569,180.7531505250875
MG,13219,169.88149330509114
RS,6313,173.56214794867734
PR,5790,176.64916580310881
SC,4143,181.28680424812936
BA,3844,197.4995863683663
DF,2397,174.7726533166458
GO,2305,190.51911930585683
ES,2268,169.0906922398589
PE,1795,197.03919777158774
CE,1481,221.09844024307898
MT,1060,234.54329245283017
PA,1056,223.17076704545454
MS,837,195.31562724014336
MA,808,238.51002475247526
PB,605,283.5931074380165
RN,553,205.78799276672694
PI,541,243.86634011090572
AL,438,243.09221461187215
SE,382,217.7317277486911
TO,329,213.27604863221882
RO,274,234.42580291970802
AM,167,198.88233532934132
AC,92,269.1646739130435
AP,82,261.6015853658536
RR,44,249.97863636363635
